=== PHASE 1 start: 750 candidats bruts ===
KEEP  85 443830898 OACA METALLERIE (AGNOS, tranche 11)
KEEP  86 501007652 BATISUD-METALLERIE (SEPTEMES-LES-VALLONS, tranche 11)
KEEP  87 813390432 GATSBY SOUDURE (GATSBY SOUDURE) (BOBIGNY, tranche 11)
KEEP  88 841196504 ES SOUDURE (ES SOUDURE) (METZ, tranche 11)
KEEP  89 538676727 SOUDURE TUYAUTERIE BRESTOISE (STB) (BREST, tranche 12)
KEEP  90 788636215 SOUDURE TUYAUTERIE MAINTENANCE (STM) (REDON, tranche 11)
KEEP  91 392675237 BRIVET MECANO SOUDURE (PONTCHATEAU, tranche 11)
KEEP  92 450396296 ATLANTIQUE TOLERIE SOUDURE (NANTES, tranche 12)
KEEP  93 332265263 MECANO SOUDURE DE L ARON (MSA) (SAINT-IGNY-DE-ROCHE, tranche 11)
KEEP  94 432851095 MAINTENANCE ET SOUDURE INDUSTRIELLE (MSI) (THAON-LES-VOSGES, tranche 12)
KEEP  95 792758377 TOLERIE REMOND (CREPAND, tranche 11)
--- progress: 150 interroges, 95 retenus ---
KEEP  96 381820927 PETITE TOLERIE DE PRECISION (PTP) (DOMONT, tranche 11)
KEEP  97 315189597 TOLERIE INDUSTRIELLE DU FRESNE (TIF) (INGRANDES-LE-FRESNE-, tranche 12)
KEEP  98 392316782 CARROSSERIE TOLERIE INDUSTRIELLE GROMY (MELESSE, tranche 12)
KEEP  99 326446952 CTA (CHAUDRONNERIE TOLERIE DE L'ARGONNE) (VARENNES-EN-ARGONNE, tranche 12)
KEEP 100 423613066 MAINE TOLERIE (CHATEAU-GONTIER-SUR-, tranche 12)
KEEP 101 414117945 TOLERIE SERVICE (TS) (HOUDEMONT, tranche 11)
KEEP 102 434269411 CAMEGA-TOLERIE (SEICHES-SUR-LE-LOIR, tranche 12)
KEEP 103 377732219 LA TOLERIE ARMORICAINE (TREILLIERES, tranche 12)
KEEP 104 525620332 SMG TOLERIE (SMG) (SAINT-PAUL, tranche 12)
KEEP 105 441283918 TOLERIE DU NORD (T.D.N.) (ARMENTIERES, tranche 12)
KEEP 106 513961367 AG TOLERIE (SAINT-MARTIN-LA-PLAI, tranche 12)
KEEP 107 554502476 C.N TOLERIE (SAINT-MARTIN-LA-PLAI, tranche 11)
KEEP 108 881652002 TOLERIE DES PYRENEES (TARASCON-SUR-ARIEGE, tranche 11)
KEEP 109 318697257 MECANIQUE GENERALE CAMBLINOISE (CAMBLAIN-CHATELAIN, tranche 12)
KEEP 110 352688428 DECOUPAGE MECANIQUE GENERALE (DMG) (RANCHOT, tranche 11)
KEEP 111 328801014 DURANCE MECANIQUE GENERALE (DMG) (MEYRARGUES, tranche 11)
KEEP 112 715580262 MECANIQUE AGRICOLE GENERALE (MAG) (SOISSONS, tranche 12)
KEEP 113 490818754 FONTENEAU MECANIQUE GENERALE (MAULEVRIER, tranche 11)
KEEP 114 627280266 GENERALE DE MECANIQUE APPLIQUEE (POLIGNY, tranche 12)
--- progress: 175 interroges, 114 retenus ---
KEEP 115 353247232 ATELIERS CONSTRUCTION MECANIQUE GENERALE (ACM (PAGNY-SUR-MEUSE, tranche 12)
KEEP 116 714501947 MECANIQUE GENERALE MODERNE MECAGEMO (SAINT-ETIENNE, tranche 11)
KEEP 117 958504532 SOCIETE ERDE MECANIQUE GENERALE (PONT-REMY, tranche 11)
KEEP 118 403540586 APPLICATION GENERALE MECANIQUE ELECTRIQU (AGM (DOMONT, tranche 12)
KEEP 119 318908738 SOCIETE MECANIQUE GENERALE INDUSTRIELLE (MGI) (BAYEUX, tranche 11)
KEEP 120 330294745 SOCIETE DE MECANIQUE GENERALE ET D'OUTILLAGE  (VARANGES, tranche 12)
KEEP 121 708200175 MECANIQUE GENERALE GRIVILLERS CHARTIER (M.G.G (ENNERY, tranche 11)
KEEP 122 383999794 MECANIQUE GENERALE LANGROISE (SAINTS-GEOSMES, tranche 12)
KEEP 123 301866919 SOCIETE DE MECANIQUE GENERALE (SOMG) (MEREAU, tranche 11)
KEEP 124 957502164 FONDERIE VINCENT (BRIGNAIS, tranche 12)
KEEP 125 344354584 FONDERIES DE LARIANS (VECQUEVILLE, tranche 12)
KEEP 126 346980188 FONDERIES DE NANGIS (NANGIS, tranche 12)
KEEP 127 405223843 LORY FONDERIES (BRIERES-LES-SCELLES, tranche 12)
